miRNA_ID,miRNA_location,PCG,PCG_embl,lncRNA_embl,Intragenic/Intergenic,PCG_exon/intron,lncRNA_exon/intron
hsa-miR-1276,chr15:85770496-85770578[-],KLHL25,ENSG00000183655,,Intragenic,intron,
hsa-miR-548ap,chr15:85825635-85825730[+],,,,Intergenic,,
hsa-miR-1179,chr15:88608107-88608197[+],,,,Intergenic,,
hsa-miR-7-2,chr15:88611825-88611934[+],,,,Intergenic,,
hsa-miR-3529,chr15:88611847-88611924[-],,,,Intergenic,,
hsa-miR-6766,chr15:89326739-89326810[-],POLG,ENSG00000140521,,Intragenic,intron,
hsa-miR-9-3,chr15:89368017-89368106[+],,,ENSG00000255571,Intragenic,,exon
hsa-miR-5094,chr15:89850637-89850721[-],AP3S2,ENSG00000157823,,Intragenic,intron,
hsa-miR-5009,chr15:89883931-89884030[-],AP3S2,ENSG00000157823,,Intragenic,intron,
hsa-miR-3174,chr15:90006755-90006841[+],ZNF710,ENSG00000140548,,Intragenic,intron,
hsa-miR-3175,chr15:92904399-92904475[+],CHD2,ENSG00000173575,,Intragenic,exon,
hsa-miR-1469,chr15:96333261-96333307[+],NR2F2,ENSG00000185551,,Intragenic,intron,
hsa-miR-4714,chr15:98784426-98784502[+],IGF1R,ENSG00000140443,,Intragenic,intron,
hsa-miR-1302-10,chr15:101960459-101960596[-],,,ENSG00000259553,Intragenic,,exon
hsa-miR-6859-3,chr15:101973524-101973591[+],,,ENSG00000290823,Intragenic,,intron
hsa-miR-6859-4,chr16:17052-17119[-],,,,Intergenic,,
hsa-miR-5587,chr16:535316-535368[+],CAPN15,ENSG00000103326,,Intragenic,intron,
hsa-miR-3176,chr16:543277-543366[+],CAPN15,ENSG00000103326,,Intragenic,intron,
hsa-miR-662,chr16:770183-770277[+],MSLNL,ENSG00000162006,,Intragenic,exon,
hsa-miR-3177,chr16:1734985-1735066[+],MAPK8IP3,ENSG00000138834,,Intragenic,intron,
hsa-miR-1225,chr16:2090195-2090284[-],PKD1,ENSG00000008710,,Intragenic,intron,
hsa-miR-6511b-1,chr16:2106669-2106753[-],PKD1,ENSG00000008710,,Intragenic,exon,
hsa-miR-4516,chr16:2133119-2133204[+],PKD1,ENSG00000008710,,Intragenic,intron,
hsa-miR-3180-5,chr16:2135977-2136129[-],,,,Intergenic,,
hsa-miR-3677,chr16:2270713-2270772[+],,,ENSG00000260778,Intragenic,,intron
hsa-miR-940,chr16:2271747-2271840[+],,,ENSG00000260778,Intragenic,,exon
hsa-miR-4717,chr16:2274620-2274691[+],,,,Intergenic,,
hsa-miR-6767,chr16:2445392-2445457[+],CCNF,ENSG00000162063,,Intragenic,intron,
hsa-miR-6768,chr16:2463967-2464038[+],TEDC2,ENSG00000162062,,Intragenic,intron,
hsa-miR-3178,chr16:2531922-2532005[-],,,,Intergenic,,
hsa-miR-6126,chr16:3485381-3485469[-],NAA60,ENSG00000122390,ENSG00000263212,Intragenic,intron,intron
hsa-miR-6769a,chr16:4671318-4671390[+],MGRN1,ENSG00000102858,,Intragenic,intron,
hsa-miR-8065,chr16:5632467-5632566[+],RBFOX1,ENSG00000078328,,Intragenic,intron,
hsa-miR-548h-2,chr16:11306440-11306527[-],RMI2,ENSG00000175643,,Intragenic,intron,
hsa-miR-4718,chr16:12720321-12720371[+],CPPED1,ENSG00000103381,,Intragenic,intron,
hsa-miR-193b,chr16:14303967-14304049[+],,,ENSG00000262454,Intragenic,,intron
hsa-miR-365a,chr16:14309285-14309371[+],,,ENSG00000262454,Intragenic,,intron
hsa-miR-3179-1,chr16:14901508-14901591[+],,,ENSG00000257264,Intragenic,,exon
hsa-miR-3670-1,chr16:14907717-14907781[+],,,,Intergenic,,
hsa-miR-3180-1,chr16:14911220-14911313[+],,,ENSG00000258354,Intragenic,,exon
hsa-miR-6511a-1,chr16:14925937-14926003[+],NPIPA1,ENSG00000183426,,Intragenic,intron,
hsa-miR-6770-1,chr16:14930820-14930879[+],NPIPA1,ENSG00000183426,,Intragenic,intron,
hsa-miR-1972-1,chr16:15010321-15010397[-],PDXDC1,ENSG00000179889,,Intragenic,intron,
hsa-miR-6511b-2,chr16:15134075-15134145[-],PDXDC1,ENSG00000179889,ENSG00000290394,Intragenic,intron,intron
hsa-miR-3180-4,chr16:15154850-15155002[-],,,ENSG00000257391,Intragenic,,exon
hsa-miR-6506,chr16:15611030-15611095[-],MARF1,ENSG00000166783,,Intragenic,exon,
hsa-miR-484,chr16:15643294-15643372[+],NDE1,ENSG00000072864,,Intragenic,exon,
hsa-miR-3179-2,chr16:16300159-16300242[+],NOMO3,ENSG00000103226,,Intragenic,exon,
hsa-miR-3670-2,chr16:16306370-16306434[+],,,,Intergenic,,
hsa-miR-3180-2,chr16:16309879-16309966[+],,,ENSG00000257366,Intragenic,,exon
hsa-miR-6511a-2,chr16:16324588-16324654[+],NPIPA9,ENSG00000183889,,Intragenic,intron,
hsa-miR-6770-2,chr16:16329305-16329364[+],NPIPA9,ENSG00000183889,,Intragenic,intron,
hsa-miR-6511a-3,chr16:16368876-16368942[+],,,,Intergenic,,
hsa-miR-6511a-4,chr16:18344013-18344079[-],,,ENSG00000290386,Intragenic,,intron
hsa-miR-6770-3,chr16:18379351-18379410[-],,,,Intergenic,,
hsa-miR-3180-3,chr16:18402178-18402271[-],,,ENSG00000257563,Intragenic,,exon
hsa-miR-3670-3,chr16:18405698-18405762[-],,,,Intergenic,,
hsa-miR-3179-3,chr16:18411894-18411977[-],,,,Intergenic,,
hsa-miR-3670-4,chr16:18488301-18488365[-],NOMO2,ENSG00000185164,,Intragenic,intron,
hsa-miR-3179-4,chr16:18494493-18494576[-],NOMO2,ENSG00000185164,,Intragenic,intron,
hsa-miR-3680-1,chr16:21506049-21506135[-],,,ENSG00000291073,Intragenic,,intron
hsa-miR-1273h,chr16:24203116-24203231[+],PRKCB,ENSG00000166501,,Intragenic,intron,
hsa-miR-548w,chr16:26025237-26025310[+],HS3ST4,ENSG00000182601,ENSG00000285882,Intragenic,intron,intron
hsa-miR-6862-1,chr16:28390982-28391051[-],EIF3CL,ENSG00000205609,,Intragenic,intron,
hsa-miR-6862-2,chr16:28724252-28724321[+],EIF3C,ENSG00000184110,,Intragenic,intron,
hsa-miR-4721,chr16:28843919-28844007[-],TUFM,ENSG00000178952,,Intragenic,exon,
hsa-miR-4517,chr16:28958583-28958661[+],NFATC2IP,ENSG00000176953,ENSG00000260853,Intragenic,exon,intron
hsa-miR-3680-2,chr16:29599179-29599265[-],,,ENSG00000288632,Intragenic,,intron
hsa-miR-4518,chr16:30503919-30504001[+],ITGAL,ENSG00000005844,,Intragenic,intron,
hsa-miR-4519,chr16:30875266-30875323[-],BCL7C,ENSG00000099385,ENSG00000260083,Intragenic,exon,exon
hsa-miR-762,chr16:30893903-30893985[+],BCL7C,ENSG00000099385,ENSG00000262721,Intragenic,exon,intron
hsa-miR-6771,chr16:50292616-50292675[+],ADCY7,ENSG00000121281,,Intragenic,intron,
hsa-miR-3181,chr16:50742305-50742377[+],CYLD,ENSG00000083799,ENSG00000261644,Intragenic,intron,intron
hsa-miR-3935,chr16:56245520-56245623[+],GNAO1,ENSG00000087258,,Intragenic,intron,
hsa-miR-138-2,chr16:56858518-56858601[+],,,,Intergenic,,
hsa-miR-6863,chr16:56904264-56904353[+],SLC12A3,ENSG00000070915,,Intragenic,intron,
hsa-miR-6772,chr16:57772289-57772352[-],KIFC3,ENSG00000140859,,Intragenic,intron,
hsa-miR-328,chr16:67202321-67202395[-],ELMO3,ENSG00000102890,,Intragenic,intron,
hsa-miR-6773,chr16:68233426-68233499[-],ESRP2,ENSG00000103067,,Intragenic,exon,
hsa-miR-1538,chr16:69565808-69565868[-],NFAT5,ENSG00000102908,,Intragenic,exon,
hsa-miR-140,chr16:69933081-69933180[+],WWP2,ENSG00000198373,,Intragenic,intron,
hsa-miR-1972-2,chr16:70030346-70030422[+],,,ENSG00000196696,Intragenic,,intron
hsa-miR-4719,chr16:76868936-76869019[+],,,ENSG00000259995,Intragenic,,intron
hsa-miR-4720,chr16:81385018-81385093[+],GAN,ENSG00000261609,,Intragenic,exon,
hsa-miR-7854,chr16:81533902-81533966[+],CMIP,ENSG00000153815,,Intragenic,intron,
hsa-miR-6504,chr16:81611348-81611408[+],CMIP,ENSG00000153815,,Intragenic,intron,
hsa-miR-8058,chr16:82688931-82689019[+],CDH13,ENSG00000140945,,Intragenic,intron,
hsa-miR-3182,chr16:83508346-83508408[+],CDH13,ENSG00000140945,,Intragenic,intron,
hsa-miR-5093,chr16:85306226-85306325[-],GSE1,ENSG00000131149,ENSG00000287787,Intragenic,intron,intron
hsa-miR-1910,chr16:85741621-85741700[-],C16orf74,ENSG00000154102,,Intragenic,intron,
hsa-miR-6774,chr16:85918347-85918416[+],IRF8,ENSG00000140968,,Intragenic,intron,
hsa-miR-6775,chr16:87834592-87834660[-],SLC7A5,ENSG00000103257,,Intragenic,intron,
hsa-miR-5189,chr16:88468918-88469031[+],ZFPM1,ENSG00000179588,,Intragenic,intron,
hsa-miR-4722,chr16:88716278-88716337[-],PIEZO1,ENSG00000103335,,Intragenic,intron,
hsa-miR-3183,chr17:1022476-1022559[-],ABR,ENSG00000159842,,Intragenic,intron,
hsa-miR-22,chr17:1713903-1713987[-],,,ENSG00000186594,Intragenic,,exon
hsa-miR-132,chr17:2049908-2050008[-],,,,Intergenic,,
hsa-miR-212,chr17:2050271-2050380[-],,,,Intergenic,,
hsa-miR-6776,chr17:2692861-2692919[-],CLUH,ENSG00000132361,,Intragenic,intron,
hsa-miR-1253,chr17:2748078-2748182[-],CCDC92B,ENSG00000277200,ENSG00000272920,Intragenic,intron,exon
hsa-miR-1253,chr17:2748078-2748182[+],CCDC92B,ENSG00000277200,ENSG00000272920,Intragenic,intron,exon
hsa-miR-6864,chr17:4969702-4969771[-],CAMTA2,ENSG00000108509,,Intragenic,intron,
hsa-miR-6865,chr17:4970086-4970150[-],CAMTA2,ENSG00000108509,,Intragenic,intron,
hsa-miR-4520-1,chr17:6655440-6655509[-],C17orf100,ENSG00000256806,,Intragenic,intron,
hsa-miR-4520-2,chr17:6655449-6655502[+],C17orf100,ENSG00000256806,,Intragenic,intron,
hsa-miR-195,chr17:7017615-7017701[-],,,ENSG00000267532,Intragenic,,exon
hsa-miR-497,chr17:7017911-7018022[-],,,ENSG00000267532,Intragenic,,exon
hsa-miR-324,chr17:7223297-7223379[-],ACADVL,ENSG00000072778,,Intragenic,intron,
hsa-miR-4314,chr17:8088056-8088147[+],,,,Intergenic,,
hsa-miR-6883,chr17:8144994-8145071[-],PER1,ENSG00000179094,,Intragenic,exon,
hsa-miR-4521,chr17:8186945-8187004[+],,,,Intergenic,,
hsa-miR-744,chr17:12081899-12081996[+],MAP2K4,ENSG00000065559,,Intragenic,intron,
hsa-miR-1269b,chr17:12917268-12917342[-],ARHGAP44,ENSG00000006740,,Intragenic,intron,
hsa-miR-548h-3,chr17:13543529-13543646[-],HS3ST3A1,ENSG00000153976,,Intragenic,intron,
hsa-miR-4731,chr17:15251627-15251696[-],PMP22,ENSG00000109099,,Intragenic,intron,
hsa-miR-1288,chr17:16282014-16282088[+],PIGL,ENSG00000108474,,Intragenic,intron,
hsa-miR-6777,chr17:17813480-17813545[-],SREBF1,ENSG00000072310,,Intragenic,intron,
hsa-miR-33b,chr17:17813836-17813931[-],SREBF1,ENSG00000072310,,Intragenic,intron,
hsa-miR-6778,chr17:18340814-18340886[-],SHMT1,ENSG00000176974,,Intragenic,exon,
hsa-miR-1180,chr17:19344506-19344574[-],B9D1,ENSG00000108641,,Intragenic,intron,
hsa-miR-4522,chr17:27293910-27293996[-],,,,Intergenic,,
hsa-miR-4723,chr17:28360654-28360734[+],TMEM199,ENSG00000244045,ENSG00000258924,Intragenic,exon,intron
hsa-miR-451a,chr17:28861369-28861440[-],,,ENSG00000264066,Intragenic,,exon
hsa-miR-451b,chr17:28861371-28861438[+],,,ENSG00000264066,Intragenic,,exon
hsa-miR-144,chr17:28861533-28861618[-],,,ENSG00000264066,Intragenic,,exon
hsa-miR-4732,chr17:28861655-28861730[-],,,ENSG00000264066,Intragenic,,exon
hsa-miR-4523,chr17:29390662-29390730[+],TAOK1,ENSG00000160551,ENSG00000264808,Intragenic,exon,exon
hsa-miR-423,chr17:30117079-30117172[+],NSRP1,ENSG00000126653,ENSG00000266919,Intragenic,intron,intron
hsa-miR-423,chr17:30117079-30117172[-],NSRP1,ENSG00000126653,ENSG00000266919,Intragenic,intron,intron
hsa-miR-3184,chr17:30117086-30117160[-],NSRP1,ENSG00000126653,ENSG00000266919,Intragenic,intron,intron
hsa-miR-4733,chr17:31094350-31094425[-],,,ENSG00000264107,Intragenic,,intron
hsa-miR-4724,chr17:31534883-31534971[+],RAB11FIP4,ENSG00000131242,,Intragenic,exon,
hsa-miR-193a,chr17:31559996-31560083[+],,,,Intergenic,,
hsa-miR-4725,chr17:31575269-31575358[+],,,ENSG00000228768,Intragenic,,intron
hsa-miR-365b,chr17:31575411-31575521[+],,,ENSG00000228768,Intragenic,,exon
hsa-miR-632,chr17:32350109-32350202[+],ZNF207,ENSG00000010244,ENSG00000265794,Intragenic,exon,intron
hsa-miR-2909,chr17:37033745-37033813[+],AATF,ENSG00000275700,,Intragenic,intron,
hsa-miR-378j,chr17:37614931-37615039[-],DDX52,ENSG00000278053,,Intragenic,intron,
hsa-miR-4734,chr17:38702262-38702331[-],,,,Intergenic,,
hsa-miR-4726,chr17:38719691-38719748[+],MLLT6,ENSG00000275023,ENSG00000275665,Intragenic,intron,intron
hsa-miR-4727,chr17:38825838-38825892[+],,,,Intergenic,,
hsa-miR-6779,chr17:38914979-38915042[+],LASP1,ENSG00000002834,,Intragenic,intron,
hsa-miR-4728,chr17:39726495-39726561[+],ERBB2,ENSG00000141736,,Intragenic,intron,
hsa-miR-6884,chr17:40026332-40026409[-],MED24,ENSG00000008838,,Intragenic,exon,
hsa-miR-6866,chr17:40161933-40162001[+],CASC3,ENSG00000108349,,Intragenic,intron,
hsa-miR-6867,chr17:40193597-40193663[+],RAPGEFL1,ENSG00000108352,,Intragenic,intron,
hsa-miR-6510,chr17:41517164-41517217[-],KRT15,ENSG00000171346,,Intragenic,exon,
hsa-miR-548at,chr17:42494773-42494830[+],ATP6V0A1,ENSG00000033627,,Intragenic,intron,
hsa-miR-5010,chr17:42514188-42514307[+],ATP6V0A1,ENSG00000033627,,Intragenic,exon,
hsa-miR-6780a,chr17:42708084-42708151[-],EZH1,ENSG00000108799,,Intragenic,intron,
hsa-miR-6781,chr17:42823880-42823943[-],BECN1,ENSG00000126581,,Intragenic,intron,
hsa-miR-2117,chr17:43444806-43444885[+],,,ENSG00000267151,Intragenic,,exon
hsa-miR-6782,chr17:44207771-44207839[-],UBTF,ENSG00000108312,ENSG00000267394,Intragenic,intron,intron
hsa-miR-6783,chr17:44934618-44934681[-],KIF18B,ENSG00000186185,,Intragenic,intron,
hsa-miR-6784,chr17:45114367-45114433[-],PLCD3,ENSG00000161714,,Intragenic,intron,
hsa-miR-4315-1,chr17:45475363-45475435[-],PLEKHM1,ENSG00000225190,,Intragenic,exon,
hsa-miR-5089,chr17:46973017-46973100[+],GOSR2,ENSG00000108433,,Intragenic,intron,
hsa-miR-152,chr17:48037161-48037247[-],COPZ2,ENSG00000005243,,Intragenic,intron,
hsa-miR-1203,chr17:48156427-48156511[-],SKAP1,ENSG00000141293,,Intragenic,intron,
hsa-miR-10a,chr17:48579838-48579947[-],HOXB3,ENSG00000120093,ENSG00000257178,Intragenic,intron,exon
hsa-miR-196a-1,chr17:48632490-48632559[-],HOXB7,ENSG00000260027,ENSG00000242207,Intragenic,intron,intron
hsa-miR-3185,chr17:48724408-48724475[-],PRAC2,ENSG00000229637,,Intragenic,intron,
hsa-miR-6129,chr17:49288346-49288454[-],,,ENSG00000177369,Intragenic,,intron
hsa-miR-6165,chr17:49510817-49510900[+],NGFR,ENSG00000064300,ENSG00000249906,Intragenic,intron,intron
hsa-miR-8059,chr17:50768650-50768730[+],,,,Intergenic,,
hsa-miR-3614,chr17:56891270-56891355[-],TRIM25,ENSG00000121060,ENSG00000262112,Intragenic,exon,intron
hsa-miR-142,chr17:58331232-58331318[-],,,ENSG00000265206,Intragenic,,exon
hsa-miR-4736,chr17:58335976-58336022[-],,,ENSG00000265148,Intragenic,,intron
hsa-miR-454,chr17:59137758-59137872[-],SKA2,ENSG00000182628,,Intragenic,intron,
hsa-miR-301a,chr17:59151136-59151221[-],SKA2,ENSG00000182628,,Intragenic,intron,
hsa-miR-4729,chr17:59366083-59366154[+],YPEL2,ENSG00000175155,,Intragenic,intron,
hsa-miR-21,chr17:59841266-59841337[+],VMP1,ENSG00000062716,,Intragenic,exon,
hsa-miR-4737,chr17:60043025-60043105[-],HEATR6,ENSG00000068097,,Intragenic,exon,
hsa-miR-633,chr17:62944215-62944312[+],,,ENSG00000283538,Intragenic,,intron
hsa-miR-3064,chr17:64500774-64500839[-],DDX5,ENSG00000108654,,Intragenic,exon,
hsa-miR-5047,chr17:64501214-64501313[-],DDX5,ENSG00000108654,,Intragenic,exon,
hsa-miR-6080,chr17:64780759-64780824[+],,,ENSG00000215769,Intragenic,,exon
hsa-miR-4315-2,chr17:64822030-64822102[-],,,ENSG00000291117,Intragenic,,exon
hsa-miR-634,chr17:66787072-66787168[+],PRKCA,ENSG00000154229,,Intragenic,intron,
hsa-miR-548aa-2,chr17:67471489-67471585[+],PITPNC1,ENSG00000154217,,Intragenic,intron,
hsa-miR-548d-2,chr17:67471489-67471585[-],PITPNC1,ENSG00000154217,,Intragenic,intron,
hsa-miR-635,chr17:68424451-68424548[-],WIPI1,ENSG00000070540,ENSG00000267009,Intragenic,intron,intron
hsa-miR-4524b,chr17:69099542-69099656[+],ABCA6,ENSG00000154262,,Intragenic,intron,
hsa-miR-4524a,chr17:69099564-69099632[-],ABCA6,ENSG00000154262,,Intragenic,intron,
hsa-miR-3615,chr17:74748613-74748699[+],SLC9A3R1,ENSG00000109062,ENSG00000266036,Intragenic,exon,exon
hsa-miR-3678,chr17:75406069-75406162[+],,,,Intergenic,,
hsa-miR-6785,chr17:75498548-75498628[+],TMEM94,ENSG00000177728,,Intragenic,exon,
hsa-miR-4738,chr17:75784521-75784607[-],H3-3B,ENSG00000132475,,Intragenic,exon,
hsa-miR-6868,chr17:76098019-76098076[-],EXOC7,ENSG00000182473,,Intragenic,intron,
hsa-miR-636,chr17:76736450-76736548[-],SRSF2,ENSG00000161547,,Intragenic,exon,
hsa-miR-6516,chr17:77089417-77089497[+],SEC14L1,ENSG00000129657,ENSG00000234912,Intragenic,intron,exon
hsa-miR-4316,chr17:77396984-77397054[-],SEPTIN9,ENSG00000184640,,Intragenic,intron,
hsa-miR-4739,chr17:79707176-79707249[-],,,,Intergenic,,
hsa-miR-1268b,chr17:80098828-80098877[+],CCDC40,ENSG00000141519,,Intragenic,intron,
hsa-miR-4730,chr17:80419418-80419493[+],ENDOV,ENSG00000173818,,Intragenic,intron,
hsa-miR-657,chr17:81125276-81125373[-],AATK,ENSG00000181409,,Intragenic,intron,
hsa-miR-3065,chr17:81125877-81125955[+],AATK,ENSG00000181409,,Intragenic,intron,
hsa-miR-338,chr17:81125883-81125949[-],AATK,ENSG00000181409,,Intragenic,intron,
hsa-miR-1250,chr17:81133196-81133308[-],AATK,ENSG00000181409,,Intragenic,intron,
hsa-miR-4740,chr17:81400716-81400778[-],BAHCC1,ENSG00000266074,,Intragenic,intron,
hsa-miR-3186,chr17:81451104-81451188[-],BAHCC1,ENSG00000266074,,Intragenic,intron,
hsa-miR-6786,chr17:81693757-81693869[+],HGS,ENSG00000185359,,Intragenic,intron,
hsa-miR-6787,chr17:82236668-82236728[+],SLC16A3,ENSG00000141526,,Intragenic,exon,
hsa-miR-4525,chr17:82668233-82668307[-],RAB40B,ENSG00000141542,,Intragenic,intron,
hsa-miR-8078,chr18:112256-112339[-],,,ENSG00000290877,Intragenic,,exon
hsa-miR-6718,chr18:3885353-3885432[+],DLGAP1,ENSG00000170579,ENSG00000263724,Intragenic,intron,intron
hsa-miR-3976,chr18:5840695-5840833[+],,,ENSG00000261738,Intragenic,,intron
hsa-miR-4317,chr18:6374361-6374425[-],L3MBTL4,ENSG00000154655,,Intragenic,intron,
hsa-miR-6788,chr18:10759584-10759649[-],PIEZO2,ENSG00000154864,,Intragenic,intron,
hsa-miR-7153,chr18:11654885-11654941[-],,,,Intergenic,,
hsa-miR-5190,chr18:13459947-13460026[+],LDLRAD4,ENSG00000168675,,Intragenic,intron,
hsa-miR-4526,chr18:13611114-13611200[+],LDLRAD4,ENSG00000168675,,Intragenic,intron,
hsa-miR-3156-2,chr18:14830166-14830242[+],ANKRD30B,ENSG00000180777,,Intragenic,intron,
hsa-miR-133a-1,chr18:21825698-21825785[-],MIB1,ENSG00000101752,ENSG00000265142,Intragenic,intron,exon
hsa-miR-1-2,chr18:21829004-21829088[-],MIB1,ENSG00000101752,ENSG00000265142,Intragenic,intron,exon
hsa-miR-4741,chr18:22933349-22933438[+],RBBP8,ENSG00000101773,ENSG00000265943,Intragenic,intron,intron
hsa-miR-8057,chr18:26591467-26591535[-],KCTD1,ENSG00000134504,,Intragenic,intron,
hsa-miR-302f,chr18:30298910-30298960[+],,,ENSG00000286605,Intragenic,,intron
hsa-miR-3975,chr18:35591737-35591806[+],GALNT1,ENSG00000141429,,Intragenic,intron,
hsa-miR-187,chr18:35904818-35904926[-],,,,Intergenic,,
hsa-miR-3929,chr18:35934088-35934142[-],,,,Intergenic,,
hsa-miR-4318,chr18:37657135-37657215[+],,,ENSG00000285940,Intragenic,,intron
hsa-miR-924,chr18:39622123-39622175[-],,,ENSG00000267374,Intragenic,,intron
hsa-miR-5583-2,chr18:39676719-39676777[-],,,ENSG00000267374,Intragenic,,intron
hsa-miR-5583-1,chr18:39676721-39676779[+],,,ENSG00000267374,Intragenic,,intron
hsa-miR-4319,chr18:44970082-44970166[-],SETBP1,ENSG00000152217,,Intragenic,intron,
hsa-miR-4527,chr18:47380496-47380565[+],,,ENSG00000267761,Intragenic,,intron
hsa-miR-4743,chr18:48670600-48670668[+],CTIF,ENSG00000134030,,Intragenic,intron,
hsa-miR-4744,chr18:49049687-49049768[-],DYM,ENSG00000141627,,Intragenic,intron,
hsa-miR-1539,chr18:49487373-49487422[+],RPL17-C18orf32,ENSG00000215472,ENSG00000265496,Intragenic,intron,intron
hsa-miR-4320,chr18:50126499-50126563[-],MYO5B,ENSG00000167306,,Intragenic,intron,
hsa-miR-4528,chr18:53237101-53237190[+],DCC,ENSG00000187323,,Intragenic,intron,
hsa-miR-4529,chr18:55479221-55479298[+],TCF4,ENSG00000196628,ENSG00000267028,Intragenic,intron,intron
hsa-miR-122,chr18:58451074-58451158[+],,,ENSG00000267391,Intragenic,,exon
hsa-miR-3591,chr18:58451080-58451152[-],,,ENSG00000267391,Intragenic,,exon
hsa-miR-5011,chr18:67081584-67081686[+],,,,Intergenic,,
hsa-miR-548av,chr18:72853321-72853382[-],NETO1,ENSG00000166342,,Intragenic,intron,
hsa-miR-1302-11,chr19:71973-72110[+],,,ENSG00000282807,Intragenic,,intron
hsa-miR-4745,chr19:804940-805001[+],PTBP1,ENSG00000011304,,Intragenic,exon,
hsa-miR-3187,chr19:813584-813653[+],PLPPR3,ENSG00000129951,,Intragenic,exon,
hsa-miR-1909,chr19:1816159-1816238[-],REXO1,ENSG00000079313,,Intragenic,exon,
hsa-miR-1227,chr19:2234062-2234149[-],PLEKHJ1,ENSG00000104886,,Intragenic,intron,
hsa-miR-6789,chr19:2235829-2235926[-],PLEKHJ1,ENSG00000104886,,Intragenic,exon,
hsa-miR-4321,chr19:2250639-2250718[+],AMH,ENSG00000104899,,Intragenic,exon,
hsa-miR-7108,chr19:2434914-2435000[-],LMNB2,ENSG00000176619,,Intragenic,exon,
hsa-miR-7850,chr19:2630715-2630793[+],GNG7,ENSG00000176533,,Intragenic,intron,
hsa-miR-637,chr19:3961414-3961512[-],DAPK3,ENSG00000167657,,Intragenic,exon,
hsa-miR-4746,chr19:4445978-4446048[+],UBXN6,ENSG00000167671,,Intragenic,exon,
hsa-miR-7-3,chr19:4770670-4770779[+],,,ENSG00000176840,Intragenic,,intron
hsa-miR-4747,chr19:4932687-4932740[+],UHRF1,ENSG00000276043,,Intragenic,intron,
hsa-miR-6885,chr19:6389638-6389703[-],GTF2F1,ENSG00000125651,ENSG00000269444,Intragenic,intron,intron
hsa-miR-6790,chr19:6392921-6392983[-],GTF2F1,ENSG00000125651,,Intragenic,intron,
hsa-miR-3940,chr19:6416410-6416511[-],KHSRP,ENSG00000088247,,Intragenic,exon,
hsa-miR-6791,chr19:6736712-6736778[-],GPR108,ENSG00000125734,,Intragenic,exon,
hsa-miR-6792,chr19:7617439-7617505[+],CAMSAP3,ENSG00000076826,,Intragenic,intron,
hsa-miR-4999,chr19:8389290-8389380[-],,,ENSG00000269386,Intragenic,,intron
hsa-miR-5589,chr19:10038354-10038413[+],,,,Intergenic,,
hsa-miR-4322,chr19:10230413-10230485[+],S1PR2,ENSG00000267534,,Intragenic,intron,
hsa-miR-1181,chr19:10403458-10403538[-],CDC37,ENSG00000105401,,Intragenic,intron,
hsa-miR-1238,chr19:10552122-10552204[+],ATG4D,ENSG00000130734,,Intragenic,intron,
hsa-miR-638,chr19:10718404-10718503[+],DNM2,ENSG00000079805,,Intragenic,intron,
hsa-miR-4748,chr19:10780254-10780335[+],DNM2,ENSG00000079805,,Intragenic,intron,
hsa-miR-199a-1,chr19:10817426-10817496[-],DNM2,ENSG00000079805,,Intragenic,intron,
hsa-miR-6793,chr19:10828973-10829035[+],DNM2,ENSG00000079805,,Intragenic,intron,
hsa-miR-6886,chr19:11113474-11113534[+],LDLR,ENSG00000130164,,Intragenic,exon,
hsa-miR-7974,chr19:11495544-11495622[-],ZNF653,ENSG00000161914,,Intragenic,intron,
hsa-miR-5684,chr19:12787128-12787192[+],HOOK2,ENSG00000095066,,Intragenic,intron,
hsa-miR-6794,chr19:12852260-12852327[+],HOOK2,ENSG00000095066,,Intragenic,intron,
hsa-miR-5695,chr19:12920320-12920404[+],,,,Intergenic,,
hsa-miR-6515,chr19:12940484-12940540[+],CALR,ENSG00000179218,,Intragenic,intron,
hsa-miR-24-2,chr19:13836287-13836359[-],,,ENSG00000267519,Intragenic,,exon
hsa-miR-27a,chr19:13836440-13836517[-],,,ENSG00000267519,Intragenic,,exon
hsa-miR-23a,chr19:13836587-13836659[-],,,ENSG00000267519,Intragenic,,exon
hsa-miR-181c,chr19:13874699-13874808[+],NANOS3,ENSG00000187556,,Intragenic,intron,
hsa-miR-181d,chr19:13874875-13875011[+],NANOS3,ENSG00000187556,,Intragenic,intron,
hsa-miR-1199,chr19:14073361-14073479[+],MISP3,ENSG00000141854,,Intragenic,exon,
hsa-miR-639,chr19:14529543-14529640[+],TECR,ENSG00000099797,,Intragenic,exon,
hsa-miR-6795,chr19:15179283-15179350[-],NOTCH3,ENSG00000074181,,Intragenic,intron,
hsa-miR-1470,chr19:15449548-15449608[+],WIZ,ENSG00000011451,,Intragenic,exon,
hsa-miR-3188,chr19:18282077-18282161[+],,,,Intergenic,,
hsa-miR-3189,chr19:18386562-18386634[+],GDF15,ENSG00000130513,,Intragenic,intron,
hsa-miR-640,chr19:19435063-19435158[+],GATAD2A,ENSG00000167491,,Intragenic,intron,
hsa-miR-1270,chr19:20399272-20399354[-],,,ENSG00000291130,Intragenic,,intron
hsa-miR-6887,chr19:35122700-35122764[+],FXYD3,ENSG00000089356,,Intragenic,exon,
hsa-miR-5196,chr19:35345513-35345627[+],CD22,ENSG00000012124,,Intragenic,exon,
hsa-miR-4530,chr19:39409623-39409678[-],,,,Intergenic,,
