miRNA_ID,miRNA_expression,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-mir-215,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-215,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-215,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-215,UP,ovarian carcinoma,D002277,DOID_4001,"Cancer, Genitourinary Conditions",carcinoma,ovarian
hsa-mir-215,DOWN,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-215,DOWN,papillary thyroid carcinoma,D000077273,DOID_3969,"Cancer, Endocrine and Metabolic Conditions",carcinoma,papillary thyroid
hsa-mir-215-3p,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-215-5p,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-216a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-216a,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-216a,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-216a,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-mir-216a,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-216a,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-216a,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-216a,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-216a,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-216a,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-216a,DOWN,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-mir-216a,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-216a,DOWN,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-216a,DOWN,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-216a,DOWN,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-216a,DOWN,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-216a,DOWN,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-mir-216a-3p,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-216a-3p,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-216a-5p,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-216a-5p,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-216a-5p,UP,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-mir-216a-5p,DOWN,small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",small cell lung cancer,
hsa-mir-216a-5p,DOWN,uveal melanoma,"C536494,D000098943",DOID_6039,"Cancer, Integumentary System",melanoma,uveal
hsa-mir-216b,UP,acute myeloid leukemia,D015470,DOID_9119,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,acute myeloid
hsa-mir-216b,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-216b,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-216b,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-216b,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-216b,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-216b,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-mir-216b,DOWN,gastric adenocarcinoma,D000230,DOID_3717,"Cancer, Digestive & Gastrointestinal Conditions",adenocarcinoma,gastric
hsa-mir-216b,DOWN,gastric adenocarcinoma,D000230,DOID_3717,"Cancer, Digestive & Gastrointestinal Conditions",adenocarcinoma,gastric
hsa-mir-216b,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-216b,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-216b,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-216b,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-216b,DOWN,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-216b,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-mir-216b,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-mir-216b,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-216b,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-216b,DOWN,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-mir-216b,DOWN,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-216b,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-216b,DOWN,renal clear cell carcinoma,"D002277,D002477,T025",DOID_4467,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal clear cell
hsa-mir-216b-3p,DOWN,lung adenocarcinoma,D000077192,DOID_3910,"Cancer, Respiratory Conditions",adenocarcinoma,lung
hsa-mir-216b-3p,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-216b-5p,DOWN,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-216b-5p,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-217,DOWN,acute myeloid leukemia,D015470,DOID_9119,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,acute myeloid
hsa-mir-217,UP,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-217,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-217,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-217,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-217,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-217,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-217,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-217,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-217,UP,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-mir-217,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-217,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-217,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-217,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-217,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-217,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-217,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-217,DOWN,laryngeal cancer,D007822,DOID_162,Cancer,laryngeal cancer,
hsa-mir-217,DOWN,liver cancer,D008113,DOID_3571,"Cancer, Digestive & Gastrointestinal Conditions",liver cancer,
hsa-mir-217,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-217,DOWN,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-217,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-217,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-217,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-217,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-217,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-217,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-217,DOWN,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-mir-217,DOWN,pancreatic adenocarcinoma,D000230,DOID_4074,"Cancer, Digestive & Gastrointestinal Conditions",adenocarcinoma,pancreatic
hsa-mir-217,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-217,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-217,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-217,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-217,DOWN,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-mir-217,DOWN,thyroid cancer,D013964,DOID_1781,"Cancer, Endocrine and Metabolic Conditions",thyroid cancer,
hsa-mir-218,DOWN,bladder cancer,D001749,DOID_11054,"Cancer, Genitourinary Conditions",bladder cancer,
hsa-mir-218,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-218,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-218,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-218,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-218,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-218,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-218,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-218,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-218,DOWN,cervical squamous cell carcinoma,D002294,DOID_3744,"Cancer, Integumentary System, Cells",carcinoma,cervical squamous cell
hsa-mir-218,UP,chondrosarcoma,D002813,DOID_3371,"Cancer, Musculoskeletal Conditions",chondrosarcoma,
hsa-mir-218,DOWN,choriocarcinoma,D002822,DOID_3594,Cancer,choriocarcinoma,
hsa-mir-218,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-218,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-218,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-218,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-218,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-218,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-218,DOWN,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-mir-218,DOWN,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-mir-218,UP,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-mir-218,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-218,DOWN,gastrointestinal stromal tumor,D046152,DOID_9253,"Cancer, Digestive & Gastrointestinal Conditions",tumor,gastrointestinal stromal
hsa-mir-218,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-218,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-218,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-218,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-218,DOWN,head and neck squamous cell carcinoma,D000077195,DOID_5520,"Cancer, Integumentary System, Cells",carcinoma,head and neck squamous cell
hsa-mir-218,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-218,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-218,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-218,DOWN,laryngeal squamous cell carcinoma,D000077195,DOID_2876,"Cancer, Integumentary System, Cells",carcinoma,laryngeal squamous cell
hsa-mir-218,DOWN,lung adenocarcinoma,D000077192,DOID_3910,"Cancer, Respiratory Conditions",adenocarcinoma,lung
hsa-mir-218,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-218,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-218,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-218,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-218,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-218,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-218,DOWN,lung squamous cell carcinoma,"D002294,D008168",DOID_3907,"Cancer, Respiratory Conditions, Integumentary System, Cells",carcinoma,lung squamous cell
hsa-mir-218,DOWN,lung squamous cell carcinoma,"D002294,D008168",DOID_3907,"Cancer, Respiratory Conditions, Integumentary System, Cells",carcinoma,lung squamous cell
hsa-mir-218,DOWN,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-218,DOWN,nasopharyngeal cancer,D009303,DOID_0060119,"Cancer, Eyes/Nose/Ears",nasopharyngeal cancer,
hsa-mir-218,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-218,DOWN,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-mir-218,DOWN,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-mir-218,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-218,UP,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-218,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-218,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-218,DOWN,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-mir-218,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-218,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-218,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-218,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-218,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-218,DOWN,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-mir-218,DOWN,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-mir-218,DOWN,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-mir-218,DOWN,renal clear cell carcinoma,"D002277,D002477,T025",DOID_4467,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal clear cell
hsa-mir-218,DOWN,renal clear cell carcinoma,"D002277,D002477,T025",DOID_4467,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal clear cell
hsa-mir-218-5p,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-218-5p,DOWN,gallbladder carcinoma,"D002277,D005704",DOID_4948,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,gallbladder
hsa-mir-218-5p,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-218-5p,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-218-5p,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-219,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-219,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-219-5p,DOWN,chordoma,D002817,DOID_3302,Cancer,chordoma,
hsa-mir-219-5p,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-219-5p,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-219-5p,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-219-5p,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-mir-219-5p,DOWN,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-mir-219-5p,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-219-5p,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-219-5p,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-219-5p,DOWN,papillary thyroid carcinoma,D000077273,DOID_3969,"Cancer, Endocrine and Metabolic Conditions",carcinoma,papillary thyroid
hsa-mir-219a-5p,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-22,DOWN,bladder cancer,D001749,DOID_11054,"Cancer, Genitourinary Conditions",bladder cancer,
hsa-mir-22,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-22,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-22,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-22,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-22,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-22,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-22,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-22,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-22,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-22,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-mir-22,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-mir-22,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-mir-22,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-22,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-22,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-mir-22,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-mir-22,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-22,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-22,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-22,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-22,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-22,DOWN,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-mir-22,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-22,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-22,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-22,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-22,DOWN,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-mir-22,DOWN,liver cancer,D008113,DOID_3571,"Cancer, Digestive & Gastrointestinal Conditions",liver cancer,
hsa-mir-22,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-22,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-22,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-22,DOWN,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-22,DOWN,medulloblastoma,D008527,DOID_0050902,Cancer,medulloblastoma,
hsa-mir-22,DOWN,multiple myeloma,D009101,DOID_9538,"Cancer, Other/Unclassified/Multisystem",multiple myeloma,
hsa-mir-22,UP,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-22,DOWN,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-mir-22,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
