miRNA_ID,Cell_line,miRNA_expression,ExperimentSourceInfo,PMID,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-miR-622, ,UP,cancer vs normal,21844009,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-938, ,UP,cancer vs normal,21844009,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-155-5p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",UP,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-378a-5p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",UP,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-342-5p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",DOWN,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-26b-5p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",DOWN,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-363-3p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",DOWN,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-150-5p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",DOWN,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-28-5p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",DOWN,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-22-5p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",DOWN,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-181a-2-3p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",DOWN,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-26a-5p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",DOWN,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-101-3p,"extranodal nasal-type natural killer/T-cell lymphoma, NK cell lines and NKTL FFPE",DOWN,cancer vs normal,21921041,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-612, ,DOWN,metastasis,23478189,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-31-5p,T cell leukemia,DOWN,cancer vs normal,22264793,leukemia,D007938,DOID_1240,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,
hsa-miR-10b-5p, ,DOWN,cancer vs normal,22438871,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-668-3p, ,DOWN,cancer vs normal,22438871,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-136-3p, ,DOWN,cancer vs normal,22438871,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-129-2-3p, ,DOWN,cancer vs normal,22438871,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-488-5p, ,DOWN,cancer vs normal,22438871,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-99a-5p, ,DOWN,cancer vs normal,22438871,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-27a-3p, ,DOWN,cancer vs normal,22438871,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-206, ,DOWN,cancer vs normal,22438871,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-21-5p, ,UP,cancer vs normal,22438871,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-25-3p, ,UP,cancer vs normal,22452939,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-92a-3p, ,UP,cancer vs normal,22452939,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
has-miR-145,Barrett's oesophagus,UP,cancer vs normal,22504665,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-miR-155-5p,Liposarcoma,UP,cancer vs normal,22350414,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-10b-5p,Liposarcoma,DOWN,cancer vs normal,22350414,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-126-3p,Liposarcoma,DOWN,cancer vs normal,22350414,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-512-5p,non-small cell lung cancer,UP,poor outcome vs good outcome,22331473,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-425-3p,non-small cell lung cancer,UP,poor outcome vs good outcome,22331473,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-615-5p,non-small cell lung cancer,UP,poor outcome vs good outcome,22331473,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-668-3p,non-small cell lung cancer,UP,poor outcome vs good outcome,22331473,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
has-hsa-miR-888,non-small cell lung cancer,UP,poor outcome vs good outcome,22331473,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-34b-5p,non-small cell lung cancer,UP,poor outcome vs good outcome,22331473,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-34b-5p,non-small cell lung cancer,UP,poor outcome vs good outcome,22331473,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-34c-3p,non-small cell lung cancer,UP,poor outcome vs good outcome,22331473,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-34c-5p,non-small cell lung cancer,UP,poor outcome vs good outcome,22331473,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-200b-3p, ,UP,metastasis vs non-metastasis,22294488,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-141-3p, ,UP,metastasis vs non-metastasis,22294488,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-9-5p, ,UP,metastasis vs non-metastasis,22294488,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-219a-5p, ,UP,metastasis vs non-metastasis,22294488,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-20a-5p,"follicular lymphoma tumor(FH B cells,  and OCI-Ly8)",UP,subtype1 vs subtype2,22102710,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-20b-5p,"follicular lymphoma tumor(FH B cells,  and OCI-Ly9)",UP,subtype1 vs subtype2,22102710,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-194-5p,"follicular lymphoma tumor(FH B cells,  and OCI-Ly10)",DOWN,subtype1 vs subtype2,22102710,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-9-5p,"cervical carcinogenesis(CIN2-3/SCC),  subtype1:gain of 1q,  subtype2:normal",UP,subtype1 vs subtype2,22330141,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-miR-15b-5p,"cervical carcinogenesis(CIN2-3/SCC),  subtype1:gain of 3q,  subtype 3:normal",UP,subtype1 vs subtype2,22330141,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-miR-28-5p,"cervical carcinogenesis(CIN2-3/SCC),  subtype1:gain of 3q,  subtype 4:normal",UP,subtype1 vs subtype2,22330141,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-miR-100-5p,"cervical carcinogenesis(CIN2-3/SCC),  subtype1:loss of 11q,  subtype 5:normal",DOWN,subtype1 vs subtype2,22330141,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-miR-125b-5p,"cervical carcinogenesis(CIN2-3/SCC),  subtype1:loss of 11q,  subtype 6:normal",DOWN,subtype1 vs subtype2,22330141,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-miR-101-3p, ,DOWN,cancer vs normal,22450781,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-miR-708-5p,lung adenocarcinomas,UP,cancer vs normal,22573352,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-9-3p,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype2: non-keratinizing )",UP,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-424-5p,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype3: non-keratinizing )",UP,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-7-1*,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype4: non-keratinizing )",UP,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-15b-5p,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype5: non-keratinizing )",UP,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-7-5p,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype6: non-keratinizing )",UP,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-21-5p,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype7: non-keratinizing )",UP,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-9-5p,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype8: non-keratinizing )",UP,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-155-5p,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype9: non-keratinizing )",UP,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-196a-5p,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype10: non-keratinizing )",UP,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-486-5p,"oral squamous cell carcinoma(subtype1: keratinizing,  subtype11: non-keratinizing )",DOWN,subtype1 vs subtype2,22761427,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-miR-96-5p,non-small cell lung cancer(),UP,cancer vs normal,22046296,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-141-3p,"Intrahepatic cholangiocellular carcinoma(subtype1: HpSC-ICC,  subtype2:MH-ICC.  ),  HpSC: hepatic stem cell-like,  ICC: intrahepatic cholangiocarcinoma,  MH:mature hepatocyte-like",DOWN,subtype1 vs subtype2,22707408,liver cancer,D008113,DOID_3571,"Cancer, Digestive & Gastrointestinal Conditions",liver cancer,
hsa-miR-200c-3p,"Intrahepatic cholangiocellular carcinoma(subtype1: HpSC-ICC,  subtype 3:MH-ICC.  ),  HpSC: hepatic stem cell-like,  ICC: intrahepatic cholangiocarcinoma,  MH:mature hepatocyte-like",DOWN,subtype1 vs subtype2,22707408,liver cancer,D008113,DOID_3571,"Cancer, Digestive & Gastrointestinal Conditions",liver cancer,
hsa-miR-145-5p, ,DOWN,cancer vs normal,23499894,liver cancer,D008113,DOID_3571,"Cancer, Digestive & Gastrointestinal Conditions",liver cancer,
hsa-miR-492, ,UP,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-223-3p, ,UP,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-135b-5p, ,UP,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-375, ,DOWN,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-195-5p, ,DOWN,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-378a-5p, ,DOWN,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-215-5p, ,DOWN,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-143-3p, ,DOWN,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-145-5p, ,DOWN,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-29c-3p, ,DOWN,cancer vs normal,22850566,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-143-3p,papillary renal cell carcinoma,DOWN,cancer vs normal,23799849,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-145-5p,papillary renal cell carcinoma,DOWN,cancer vs normal,23799849,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-200c-3p,papillary renal cell carcinoma,DOWN,cancer vs normal,23799849,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-502-3p,papillary renal cell carcinoma,DOWN,cancer vs normal,23799849,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-10b-5p,papillary renal cell carcinoma,DOWN,cancer vs normal,23799849,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-let-7c-5p,papillary renal cell carcinoma,DOWN,cancer vs normal,23799849,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-93-5p,papillary renal cell carcinoma,DOWN,cancer vs normal,23799849,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-15a-5p,papillary renal cell carcinoma,DOWN,cancer vs normal,23799849,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-210-3p,papillary renal cell carcinoma,UP,cancer vs normal,23799849,kidney cancer,D007680,DOID_263,"Cancer, Genitourinary Conditions",kidney cancer,
hsa-miR-1-3p,osteosarcoma,DOWN,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-9-5p,osteosarcoma,DOWN,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-18a-5p,osteosarcoma,DOWN,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-18b-5p,osteosarcoma,DOWN,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-19b-3p,osteosarcoma,,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-29b-3p,osteosarcoma,,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-126-3p,osteosarcoma,DOWN,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-133b,osteosarcoma,DOWN,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-142-3p,osteosarcoma,,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-144-3p,osteosarcoma,DOWN,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-195-5p,osteosarcoma,DOWN,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-223-3p,osteosarcoma,DOWN,cancer vs normal,23133552,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-451a,osteosarcoma,DOWN,cancer vs normal,23133565,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-497-5p,osteosarcoma,DOWN,cancer vs normal,23133565,sarcoma,D012509,DOID_1115,Cancer,sarcoma,
hsa-miR-425, ,UP,cancer vs normal,23125021,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-454, ,UP,cancer vs normal,23125021,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-301a, ,UP,cancer vs normal,23125021,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-10b*, ,DOWN,cancer vs normal,23125021,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
has-miR-139-5p, ,DOWN,cancer vs normal,23125021,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-21-5p,cutaneous malignant melanoma,UP,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-142-3p,cutaneous malignant melanoma,UP,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-155-5p,cutaneous malignant melanoma,UP,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-223-3p,cutaneous malignant melanoma,UP,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-301a-3p,cutaneous malignant melanoma,UP,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-141-3p,cutaneous malignant melanoma,DOWN,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-149-5p,cutaneous malignant melanoma,DOWN,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-200b-3p,cutaneous malignant melanoma,DOWN,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-204-5p,cutaneous malignant melanoma,DOWN,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-455-3p,cutaneous malignant melanoma,DOWN,cancer vs normal,23111773,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-211-5p, ,DOWN,cancer vs normal,23155457,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-4321, ,UP,cancer vs normal,23155457,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-378a-5p, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-375, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-21-3p, ,UP,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-145-5p, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-96-5p, ,UP,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-21-5p, ,UP,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-147b, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-143-3p, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-93-5p, ,UP,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-886-5p, ,UP,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-886-3p, ,UP,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-497-5p, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-30a-3p, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-182-3p, ,UP,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-139-5p, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-136-5p, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-218-5p, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-302a-3p, ,DOWN,cancer vs normal,23028787,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-138-5p,malignant glioma,UP,cancer vs normal,22921398,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-21-5p, ,UP,cancer vs normal,22703586,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-223-3p, ,UP,cancer vs normal,22703586,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-224-5p, ,UP,cancer vs normal,22703586,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-29a-3p, ,UP,cancer vs normal,22703586,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-29b-3p, ,UP,cancer vs normal,22703586,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-27a-3p, ,UP,cancer vs normal,22703586,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-miR-31-5p, ,DOWN,cancer vs normal,23233736,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-96-5p,"primary tumors,  mesentery metastases ",UP,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-182-3p,"primary tumors,  mesentery metastases and  liver metastases",UP,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-196a-5p,"primary tumors,  mesentery metastases and  liver metastases",UP,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-200a-3p,"primary tumors,  mesentery metastases and  liver metastases",UP,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-183-5p,"primary tumors,  mesentery metastases and  liver metastases",UP,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-31-5p,"primary tumors,  mesentery metastases and  liver metastases",DOWN,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-129-5p,"primary tumors,  mesentery metastases and  liver metastases",DOWN,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-133a-3p,"primary tumors,  mesentery metastases and  liver metastases",DOWN,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-215-5p,"primary tumors,  mesentery metastases and  liver metastases",DOWN,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-31-5p,"primary tumors,  mesentery metastases",DOWN,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-133a-3p,"primary tumors,  mesentery metastases",DOWN,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-182-3p,"primary tumors,  mesentery metastases",UP,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-183-5p,"primary tumors,  mesentery metastases",DOWN,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-31-5p,"primary tumors,  liver metastases",DOWN,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-133a-3p,"primary tumors,  liver metastases",DOWN,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-182-3p,"primary tumors,  liver metastases",UP,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-183-5p,"primary tumors,  liver metastases",UP,metastases,23328977,small intestinal neuroendocrine tumor,D018358,DOID_169,"Cancer, Neurological Conditions, Digestive & Gastrointestinal Conditions",tumor,
hsa-miR-182-3p,Pca(prostate cancer antigen) ,UP,cancer vs normal,24518785,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-187-3p,Pca(prostate cancer antigen) ,DOWN,cancer vs normal,24518785,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-214-3p, ,DOWN,cancer vs normal,22613005,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-18b-5p,"well differentiation, moderately differentiation",DOWN,high grade vs low grade,23496901,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-18b-5p,"well differentiation, poorly differentiation",DOWN,high grade vs low grade,23496901,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
